"GEO_ID","NAICS2017","YEAR","NAICS2017_F","GEO_ID_F","NAICS2017_LABEL","NAME","EMP","EMP_IMP","ESTAB","FIRM","PAYANN","PAYANN_IMP","PAYQTR1","RCPTOT","RCPTOT_IMP"
"id","2017 NAICS code","Year","2017 NAICS Footnote","Geo Footnote","Meaning of NAICS code","Geographic Area Name","Number of paid employees for pay period including March 12","Range indicating percent of total employees imputed","Number of establishments","Number of firms","Annual payroll ($1,000)","Range indicating percent of total annual payroll imputed","First-quarter payroll ($1,000)","Value of sales, shipments, receipts, revenue, or business done ($1,000)","Range indicating percent of total sales, value of shipments, or revenue imputed"
"0100000US","44-45","2017","null","null","Retail trade","United States","15960369","N","1064210","647246","442635353","N","108521679","4976023828","N"
"0100000US","441","2017","null","null","Motor vehicle and parts dealers","United States","2009860","N","118632","80297","91426387","N","21977453","1172354604","N"
"0100000US","4411","2017","null","null","Automobile dealers","United States","1325799","N","47033","40708","69230609","N","16640621","1011521753","N"
"0100000US","44111","2017","null","null","New car dealers","United States","1169506","N","21565","17423","62740453","N","15047276","908952627","N"
"0100000US","441110","2017","null","null","New car dealers","United States","1169506","N","21565","17423","62740453","N","15047276","908952627","N"
"0100000US","44112","2017","null","null","Used car dealers","United States","156293","N","25468","23574","6490156","N","1593345","102569126","N"
"0100000US","441120","2017","null","null","Used car dealers","United States","156293","N","25468","23574","6490156","N","1593345","102569126","N"
"0100000US","4412","2017","null","null","Other motor vehicle dealers","United States","153832","N","13781","11987","6470043","N","1432492","70118357","N"
"0100000US","44121","2017","null","null","Recreational vehicle dealers","United States","47335","N","2672","2165","2187904","N","473667","26094431","N"
"0100000US","441210","2017","null","null","Recreational vehicle dealers","United States","47335","N","2672","2165","2187904","N","473667","26094431","N"
"0100000US","44122","2017","null","null","Motorcycle, boat, and other motor vehicle dealers","United States","106497","N","11109","9826","4282139","N","958825","44023926","N"
"0100000US","441222","2017","null","null","Boat dealers","United States","34393","N","4207","3552","1493142","N","316901","15474531","N"
"0100000US","441228","2017","null","null","Motorcycle, ATV, and all other motor vehicle dealers","United States","72104","N","6902","6280","2788997","N","641924","28549395","N"
"0100000US","4413","2017","null","null","Automotive parts, accessories, and tire stores","United States","530229","N","57818","27744","15725735","N","3904340","90714494","N"
"0100000US","44131","2017","null","null","Automotive parts and accessories stores","United States","356723","N","37529","16640","9044026","N","2322321","57229059","N"
"0100000US","441310","2017","null","null","Automotive parts and accessories stores","United States","356723","N","37529","16640","9044026","N","2322321","57229059","N"
"0100000US","44132","2017","null","null","Tire dealers","United States","173506","N","20289","11156","6681709","N","1582019","33485435","N"
"0100000US","441320","2017","null","null","Tire dealers","United States","173506","N","20289","11156","6681709","N","1582019","33485435","N"
"0100000US","442","2017","null","null","Furniture and home furnishings stores","United States","468852","N","50662","32451","14572248","N","3486353","113444034","N"
"0100000US","4421","2017","null","null","Furniture stores","United States","211527","N","23598","13781","7904062","N","1922027","60636459","N"
"0100000US","44211","2017","null","null","Furniture stores","United States","211527","N","23598","13781","7904062","N","1922027","60636459","N"
"0100000US","442110","2017","null","null","Furniture stores","United States","211527","N","23598","13781","7904062","N","1922027","60636459","N"
"0100000US","4422","2017","null","null","Home furnishings stores","United States","257325","N","27064","18718","6668186","N","1564326","52807575","N"
"0100000US","44221","2017","null","null","Floor covering stores","United States","71555","N","11195","9302","3072371","N","722723","22038081","N"
"0100000US","442210","2017","null","null","Floor covering stores","United States","71555","N","11195","9302","3072371","N","722723","22038081","N"
"0100000US","44229","2017","null","null","Other home furnishings stores","United States","185770","N","15869","9421","3595815","N","841603","30769494","N"
"0100000US","442291","2017","null","null","Window treatment stores","United States","8316","N","1813","1585","280606","N","62779","1558482","N"
"0100000US","442299","2017","null","null","All other home furnishings stores","United States","177454","N","14056","7842","3315209","N","778824","29211012","N"
"0100000US","443","2017","null","null","Electronics and appliance stores","United States","338122","N","30407","19171","10465358","N","2420526","92434806","N"
"0100000US","4431","2017","null","null","Electronics and appliance stores","United States","338122","N","30407","19171","10465358","N","2420526","92434806","N"
"0100000US","44314","2017","null","null","Electronics and appliance stores","United States","338122","N","30407","19171","10465358","N","2420526","92434806","N"
"0100000US","443141","2017","null","null","Household appliance stores","United States","62159","N","7330","5444","2193147","N","563221","16784800","N"
"0100000US","443142","2017","null","null","Electronics stores","United States","275963","N","23077","13736","8272211","N","1857305","75650006","N"
"0100000US","444","2017","null","null","Building material and garden equipment and supplies dealers","United States","1288030","N","75103","49096","39256743","N","9419586","350467444","N"
"0100000US","4441","2017","null","null","Building material and supplies dealers","United States","1123810","N","57526","35557","34510619","N","8382395","306909785","N"
"0100000US","44411","2017","null","null","Home centers","United States","653595","N","5970","1551","16311050","N","4051098","169033375","N"
"0100000US","444110","2017","null","null","Home centers","United States","653595","N","5970","1551","16311050","N","4051098","169033375","N"
"0100000US","44412","2017","null","null","Paint and wallpaper stores","United States","37572","N","7021","1615","1253175","N","299845","11588149","N"
"0100000US","444120","2017","null","null","Paint and wallpaper stores","United States","37572","N","7021","1615","1253175","N","299845","11588149","N"
"0100000US","44413","2017","null","null","Hardware stores","United States","148651","N","15026","9848","3772558","N","913595","25404210","N"
"0100000US","444130","2017","null","null","Hardware stores","United States","148651","N","15026","9848","3772558","N","913595","25404210","N"
"0100000US","44419","2017","null","null","Other building material dealers","United States","283992","N","29509","22764","13173836","N","3117857","100884051","N"
"0100000US","444190","2017","null","null","Other building material dealers","United States","283992","N","29509","22764","13173836","N","3117857","100884051","N"
"0100000US","4442","2017","null","null","Lawn and garden equipment and supplies stores","United States","164220","N","17577","13632","4746124","N","1037191","43557659","N"
