ITEM, SINGLULAR ,PRICE
boxes of tissues, box of tissues ,1.4900000000
rolls of paper towels, roll of paper towels ,1.0000000000
tide pods, tide pod ,0.2200000000
gallons of bleach, gallon of bleach ,5.3200000000
LED light bulbs, LED light bulb ,1.2400000000
AA batteries, AA battery ,0.4260000000
rolls of toilet paper, roll of toilet paper ,0.8737500000
Nature Valley granola bars, Nature Valley granola bar ,0.1990000000
pounds of apples, pound of apples ,1.4900000000
eggs, egg ,0.1000000000
gumballs, gumball ,0.2500000000
froot loops, froot loop ,0.0015596518
